ipa,id,description,ph.anterior,ph.approximant,ph.atr,ph.back,ph.click,ph.consonantal,ph.constr,ph.continuant,ph.coronal,ph.delrel,ph.distributed,ph.dorsal,ph.ejective,ph.fortis,ph.front,ph.high,ph.implosive,ph.labial,ph.labiodental,ph.lateral,ph.long,ph.low,ph.nasal,ph.periodic,ph.pharyngeal,ph.round,ph.rtr,ph.short,ph.sonorant,ph.spread,ph.stress,ph.strident,ph.syllabic,ph.tap,ph.tense,ph.tone,ph.trill,fk.cm,fk.cp,fk.cs,fk.gc,fk.init,fk.phon,fk.pri,fk.pros,fk.sec,fk.tone,fk.vh,fk.vm,fk.vv,notes
tɬʰ,685,(voiceless) (lateral-release) (alveolar) (pulmonic-egressive) (affricate) (post-aspirated) (consonant),+,-,0,0,-,+,-,-,+,+,-,-,-,-,0,0,-,-,0,+,-,0,-,-,-,0,0,-,-,+,-,-,-,-,0,0,-,affr,alvr,tasp,cons,plme,voil,,,latr,,,,,
ɡbˤ,1842,(voiced) (pharyngealized) (labiovelar) (glottal-egressive) (stop) (post-glottalized) (consonant),0,-,-,-,-,+,-,-,-,-,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,0,-,-,0,0,-,stop,lvlr,tglz,cons,glte,void,,,phrz,,,,,
d̪ʷ,1432,(voiced) (labialized) (dental) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,+,0,-,-,0,-,+,-,+,0,-,-,-,-,-,-,-,0,0,-,stop,dntl,smpx,cons,plme,void,,,lblz,,,,,
tɬʼ,687,(voiceless) (lateral-release) (alveolar) (glottal-egressive) (affricate) (post-glottalized) (consonant),+,-,0,0,-,+,+,-,+,+,-,-,+,-,0,0,-,-,0,+,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,affr,alvr,tglz,cons,glte,voil,,,latr,,,,,
rˤ,974,(voiced) (pharyngealized) (alveolar) (pulmonic-egressive) (trill) (simplex) (consonant),+,+,-,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,+,-,+,-,-,-,-,-,0,0,+,tril,alvr,smpx,cons,plme,void,,,phrz,,,,,
˨˧˨,1831,(voiced) (pulmonic-egressive) (suprasegmental) (#232),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,,,,sseg,plme,void,,,,232,,,,
ʔʷ,143,(voiceless) (labialized) (glottal) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,0,-,+,+,-,-,-,0,-,-,-,0,0,-,+,0,-,-,0,-,-,-,+,0,-,-,-,-,0,-,-,0,0,-,stop,gltl,smpx,cons,plme,voil,,,lblz,,,,,
ɑ̃õ,2385,(voiced) (nasalized) (nasal-vowel) (open and closemid) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,-|+,-,-,-,+|-,+,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,nasz,,,,back,vnsl,open|cmid,
ʁʷˤ,1435,(voiced) (labialized and pharyngealized) (uvular) (glottal-egressive) (fricative) (post-glottalized) (consonant),0,-,-,+,-,+,-,+,-,+,0,+,-,-,-,-,-,+,0,-,-,-,-,+,-,+,+,-,-,-,-,0,-,-,0,0,-,frct,uvlr,tglz,cons,glte,void,,,lblz|phrz,,,,,
d̪ː,253,(long) (voiced) (dental) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,dntl,smpx,cons,plme,void,,long,,,,,,
ɣ̩,1072,(syllabic) (voiced) (velar) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,-,-,+,-,+,-,+,0,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,0,+,-,0,0,-,frct,velr,smpx,cons,plme,void,,syll,,,,,,
ɣ̥,2397,(voiceless) (velar) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,-,-,+,-,+,-,+,0,+,-,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,+,-,0,-,-,0,0,-,frct,velr,smpx,cons,plme,voil,,,,,,,,
ɣ̤,2548,(breathy) (velar) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,-,-,+,-,+,-,+,0,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,+,-,0,-,-,0,0,-,frct,velr,smpx,cons,plme,brth,,,,,,,,
t̰s̰,2145,(creaky) (dental) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,0,-,+,+,-,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,affr,dntl,cmpx,cons,plme,crky,,,,,,,,
t̪ɬ̪ʷʰ,1436,(voiceless) (labialized) (dental) (pulmonic-egressive) (affricate) (post-aspirated) (consonant),+,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,+,0,+,-,0,-,-,-,+,0,-,-,+,-,-,-,-,0,0,-,affr,dntl,tasp,cons,plme,voil,,,lblz,,,,,
ɑ̈,2865,(voiced) (centralized) (open) (back) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,ctrz,,,,back,,open,
ṳə̤,1512,(breathy) (rounded-unrounded) (close and mid) (back and central) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-,+|-,-,+|-,-,-,-,-,-,+,-,+,-,-,+,+,-,0,+,-,+|-,0,-,,,,vowl,plme,brth,,,,,back|cntr,rdur,clos|vmid,
t̪θ,523,(voiceless) (dental) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,affr,dntl,cmpx,cons,plme,voil,,,,,,,,
ʔˤ,729,(voiceless) (pharyngealized) (glottal) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,-,0,-,+,+,-,-,-,0,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,+,-,-,-,-,0,-,-,0,0,-,stop,gltl,smpx,cons,plme,voil,,,phrz,,,,,
ɣ̰,1785,(creaky) (velar) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,-,-,+,+,+,-,+,0,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,0,-,-,0,0,-,frct,velr,smpx,cons,plme,crky,,,,,,,,
˥̰,524,(creaky) (pulmonic-egressive) (suprasegmental) (#55),0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,+,0,,,,sseg,plme,crky,,,,55,,,,
t̪ɬ̪ʷʼ,1437,(voiceless) (labialized) (dental) (glottal-egressive) (affricate) (post-glottalized) (consonant),+,-,0,0,-,+,+,-,+,+,+,-,+,-,0,0,-,+,0,+,-,0,-,-,-,+,0,-,-,-,-,-,-,-,0,0,-,affr,dntl,tglz,cons,glte,voil,,,lblz,,,,,
rʷ,1847,(voiced) (labialized) (alveolar) (pulmonic-egressive) (trill) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,+,0,-,-,0,-,+,-,+,0,-,+,-,-,-,-,-,0,0,+,tril,alvr,smpx,cons,plme,void,,,lblz,,,,,
rʰ,1891,(voiced) (alveolar) (pulmonic-egressive) (trill) (post-aspirated) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,+,-,-,-,-,0,0,+,tril,alvr,tasp,cons,plme,void,,,,,,,,
rʲ,319,(voiced) (palatalized) (alveolar) (pulmonic-egressive) (trill) (simplex) (consonant),+,+,0,+,-,+,-,+,+,0,-,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,+,tril,alvr,smpx,cons,plme,void,,,pltz,,,,,
rʼ,2569,(voiced) (alveolar) (glottal-egressive) (trill) (post-glottalized) (consonant),+,+,0,0,-,+,+,+,+,0,-,-,+,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,+,tril,alvr,tglz,cons,glte,void,,,,,,,,
kǃ̠xʰ,1709,(voiceless) (retracted) (alveolar) (velaric-ingressive) (click) (post-aspirated) (consonant),-,-,0,-,+,+,-,-,+,-,+,+,-,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,+,-,-,-,-,0,0,-,clck,alvr,tasp,cons,veli,voil,retr,,,,,,,
ɬ,550,(voiceless) (lateral-release) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,0,-,+,-,+,+,+,-,-,-,-,0,0,-,-,0,+,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,frct,alvr,smpx,cons,plme,voil,,,latr,,,,,
ʔː,829,(long) (voiceless) (glottal) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,0,-,+,+,-,-,-,0,-,-,-,0,0,-,-,0,-,+,0,-,-,-,0,0,-,-,-,-,0,-,-,0,0,-,stop,gltl,smpx,cons,plme,voil,,long,,,,,,
ɟ̩̰,2121,(syllabic) (creaky) (palatal) (pulmonic-egressive) (stop) (simplex) (consonant),-,-,0,-,-,+,+,-,+,-,+,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,+,-,0,0,-,stop,palt,smpx,cons,plme,crky,,syll,,,,,,
ɯ̃ə,2258,(voiced) (nasal-vowel) (close and mid) (back and central) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-,+|-,-,-,0,-,-,-,+,+,-,0,-,-,+,-,-,0,+,-,+|-,0,-,,,,vowl,plme,void,,,,,back|cntr,vnsl,clos|vmid,
ɡbʲ,2234,(voiced) (palatalized) (labiovelar) (pulmonic-egressive) (stop) (complex) (consonant),0,-,0,+,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,-,-,-,-,+,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,lvlr,cmpx,cons,plme,void,,,pltz,,,,,
d̪ˤ,1466,(voiced) (pharyngealized) (dental) (glottal-egressive) (stop) (post-glottalized) (consonant),+,-,-,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,+,-,-,-,-,-,-,-,0,0,-,stop,dntl,tglz,cons,glte,void,,,phrz,,,,,
ɡbʷ,1574,(voiced) (labialized) (labiovelar) (pulmonic-egressive) (stop) (complex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,0,-,-,0,0,-,stop,lvlr,cmpx,cons,plme,void,,,lblz,,,,,
˨˩̤,405,(breathy) (pulmonic-egressive) (suprasegmental) (#21),0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,+,0,,,,sseg,plme,brth,,,,21,,,,
pʃʼ,2104,(voiceless) (bilabio-postalveolar) (glottal-egressive) (affricate) (post-glottalized) (consonant),-,-,0,0,-,+,+,-|+,-|+,-|+,+,-,+,-,0,0,-,+|-,-,-,-,0,-,-,-,-,0,-,-,-,-,+,-,-,0,0,-,affr,bpav,tglz,cons,glte,voil,,,,,,,,
pʃʰ,2105,(voiceless) (bilabio-postalveolar) (pulmonic-egressive) (affricate) (post-aspirated) (consonant),-,-,0,0,-,+,-,-|+,-|+,-|+,+,-,-,-,0,0,-,+|-,-,-,-,0,-,-,-,-,0,-,-,+,-,+,-,-,0,0,-,affr,bpav,tasp,cons,plme,voil,,,,,,,,
bʷˠ,1141,(voiced) (labialized and velarized) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,+,-,+,-,-,-,-,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,void,,,lblz|vlrz,,,,,
ae̞ˤ,1640,(voiced) (lowered) (pharyngealized) (open and closemid) (front and front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,-,0,-,-,+|-,-,+,-,0,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,phrz,,frnt|frnt,,open|cmid,
bʷː,1040,(long) (voiced) (labialized) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,0,-,+,-,-,-,-,0,-,-,-,0,0,-,+,-,-,+,0,-,+,-,+,0,-,-,-,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,void,,long,lblz,,,,,
˧˨˥,439,(voiced) (pulmonic-egressive) (suprasegmental) (#435),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,,,,sseg,plme,void,,,,435,,,,
ĩə,2256,(voiced) (nasal-unnasal) (close and mid) (front and central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+|-,+|-,-,-,0,-,-,-,+,+,-,0,-,-,+,-,-,0,+,-,+|-,0,-,,,,vowl,plme,void,,,,,frnt|cntr,nsun,clos|vmid,
ɡbɾ,2814,(voiced) (rhotacized) (labiovelar) (pulmonic-egressive) (stop) (complex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,lvlr,cmpx,cons,plme,void,,,rhtz,,,,,
ʔɾ,2875,(voiceless) (rhotacized) (glottal) (pulmonic-egressive) (stop) (complex) (consonant),+,-|+,0,0,-,+,+|-,-|+,-|+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,-|+,-,0,0,-,-|+,-,-,-,-,-|+,0,0,-,stop,gltl,cmpx,cons,plme,voil,,,rhtz,,,,,
ĕ̞,808,(brief) (voiced) (lowered) (closemid) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,-,-,-,0,-,-,-,-,+,-,0,-,+,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,brev,,,frnt,,cmid,
ntɾ,2815,(voiceless) (rhotacized) (alveolar) (pulmonic-egressive) (stop) (pre-nasalized) (consonant),+,-|+,0,0,-,+,-,-|+,+,-,-,-,-,-,0,0,-,-,0,-,-,0,+|-|-,+|-|+,-,0,0,-,+|-|+,-,-,-,-,-|+,0,0,-,stop,alvr,pnsz,cons,plme,voil,,,rhtz,,,,,
t̪̰,2851,(creaky) (dental) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,+,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,dntl,smpx,cons,plme,crky,,,,,,,,
d̪ʲ,299,(voiced) (palatalized) (dental) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,+,-,+,-,-,+,-,+,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,dntl,smpx,cons,plme,void,,,pltz,,,,,
ɗ,393,(voiced) (alveolar) (glottal-ingressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,+,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,glti,void,,,,,,,,
dʑᶣ,2461,(voiced) (alveolopalatal) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,+,-,+,-,-,+,+,+,+,-,-,+,+,-,+,0,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,0,0,-,affr,avpl,cmpx,cons,plme,void,,,,,,,,
l̪̩,1207,(syllabic) (voiced) (lateral-release) (dental) (pulmonic-egressive) (approximant) (complex) (consonant),+,+,0,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,0,-,+,-,-,-,+,-,0,0,-,appr,dntl,cmpx,cons,plme,void,,syll,latr,,,,,
k,29,(voiceless) (velar) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,0,0,-,stop,velr,smpx,cons,plme,voil,,,,,,,,
l̪̥,1513,(voiceless) (lateral-release) (dental) (pulmonic-egressive) (approximant) (complex) (consonant),+,+,0,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,+,-,0,-,-,-,0,0,-,+,+,-,-,-,-,0,0,-,appr,dntl,cmpx,cons,plme,voil,,,latr,,,,,
l̪̤,1559,(breathy) (lateral-release) (dental) (pulmonic-egressive) (approximant) (complex) (consonant),+,+,0,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,0,-,+,+,-,-,-,-,0,0,-,appr,dntl,cmpx,cons,plme,brth,,,latr,,,,,
ɡǃxʼ,2663,(voiced) (alveolar) (glottal-egressive) (click) (post-glottalized) (consonant),+,-,0,-,+,+,+,-,+,-,-,+,+,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,alvr,tglz,cons,glte,void,,,,,,,,
sʲʷ,2485,(voiceless) (palatalized and labialized) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,+,-,+,-,+,+,+,-,+,-,-,+,+,-,+,0,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,0,0,-,frct,alvr,smpx,cons,plme,voil,,,pltz|lblz,,,,,
d̪ɦ,2351,(voiced) (dental) (pulmonic-egressive) (stop) (post-aspirated) (consonant),+,-,0,0,-,+|-,-,-|+,+|-,-|+,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-|+,-,-,-,-,0,0,-,stop,dntl,tasp,cons,plme,void,,,,,,,,
l̪̰,1558,(creaky) (lateral-release) (dental) (pulmonic-egressive) (approximant) (complex) (consonant),+,+,0,0,-,+,+,+,+,0,+,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,dntl,cmpx,cons,plme,crky,,,latr,,,,,
ŋ̤ʰ,2779,(breathy) (velar) (pulmonic-egressive) (nasal) (post-aspirated) (consonant),0,-,0,-,-,+,-,-,-,0,0,+,-,-,-,+,-,-,0,-,-,-,+,+,-,0,0,-,+,+,-,0,-,-,0,0,-,nasl,velr,tasp,cons,plme,brth,,,,,,,,
ɶ̝,667,(voiced) (raised) (round) (open) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,-,-,+,-,-,-,+,-,+,-,+,-,-,+,-,-,0,+,-,0,0,-,,,,vowl,plme,void,razd,,,,frnt,roun,open,
ɖʐʷ,2755,(voiced) (labialized) (retroflex) (pulmonic-egressive) (affricate) (complex) (consonant),-,-,0,0,-,+,-,-,+,+,-,-,-,-,0,0,-,+,0,-,-,0,-,+,-,+,0,-,-,-,-,+,-,-,0,0,-,affr,rtfx,cmpx,cons,plme,void,,,lblz,,,,,
t̪ˤ,1463,(voiceless) (pharyngealized) (dental) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,-,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,+,-,-,-,-,-,-,-,0,0,-,stop,dntl,smpx,cons,plme,voil,,,phrz,,,,,
ʊ̙ː,1368,(long) (voiced) (retracted) (round) (nearclose) (nearback) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,+,-,-,+,-,-,+,-,+,+,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,retr,long,,,nbck,roun,ncls,
e̥ː,2561,(long) (voiceless) (closemid) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,-,-,-,0,-,+,-,-,-,-,0,-,-,+,+,-,0,+,-,+,0,-,,,,vowl,plme,voil,,long,,,frnt,,cmid,
õ̞ˤ,1647,(voiced) (lowered) (pharyngealized) (nasal-vowel and round) (closemid) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,-,+,+,-,+,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,phrz,,back,vnsl|roun,cmid,
l̪ː,1033,(long) (voiced) (lateral-release) (dental) (pulmonic-egressive) (approximant) (complex) (consonant),+,+,0,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,+,+,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,dntl,cmpx,cons,plme,void,,long,latr,,,,,
t̪s̪ː,1468,(long) (voiceless) (dental) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,-,0,-,+,0,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,affr,dntl,cmpx,cons,plme,voil,,long,,,,,,
t̪ˀ,1503,(voiceless) (dental) (pulmonic-egressive) (stop) (pre-glottalized) (consonant),+,-,0,0,-,+,+,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,dntl,pglz,cons,plme,voil,,,,,,,,
ŋkx,2720,(voiceless) (velar) (pulmonic-egressive) (affricate) (pre-nasalized) (consonant),0,-,0,-,-,+,-,-,-,+,0,+,-,-,-,+,-,-,0,-,-,-,+|-,-,-,0,0,-,+|-,-,-,0,-,-,0,0,-,affr,velr,pnsz,cons,plme,voil,,,,,,,,
l̪ˠ,1153,(voiced) (lateral-release and velarized) (dental) (pulmonic-egressive) (approximant) (complex) (consonant),+,+,0,+,-,+,-,+,+,0,+,+,-,-,-,+,-,-,0,+,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,dntl,cmpx,cons,plme,void,,,latr|vlrz,,,,,
ɛ̃ə,2255,(voiced) (nasal-unnasal) (openmid and mid) (front and central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+|-,-,-,-,0,-,-,-,+,+,-,0,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,,,frnt|cntr,nsun,omid|vmid,
l̪ˤ,1766,(voiced) (lateral-release and pharyngealized) (dental) (glottal-egressive) (approximant) (post-glottalized) (consonant),+,+,-,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,+,-,+,-,-,-,-,-,0,0,-,appr,dntl,tglz,cons,glte,void,,,latr|phrz,,,,,
n̠̤d̠̤ʒ,2538,(voiced) (retracted) (alveolar) (pulmonic-egressive) (affricate) (pre-nasalized) (consonant),-,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,-,0,-,-,0,+|-,+,-,0,0,-,+|-,+,-,+,-,-,0,0,-,affr,alvr,pnsz,cons,plme,void,retr,,,,,,,
