Number,Language,"Alternate name(s)",Dialect,Location,Population,Classification,Dictionary,Grammar,Textbooks,"Other Sources",Consonants,Stops,Affricates,Fricatives,Nasals,Laterals,Vibrants,Clicks,"Modified Consonants",Glides,Vowels,"Front vowels","Central vowels","Back vowels","Long vowels","Nasal Vowels","Modified Vowels",Diphthongs,Syllable,Tones,Stress,"Noun number","Noun classes",Gender,Demonstratives,Articles,Pronouns,Syntax,Ergative,"Noun incorporation","Prepositions or postpositions",Comments
11,Nama,Khoekhoe,,"South Africa","234,000","Khoisan: Central: Nama",,"Hagman, R. 1977. Nama Hottentot Grammar. Bloomington: Indiana Univ.",,"§Beach, D. M. 1938. The Phonetics of Hottentot Language. Cambridge: W. Heffer and Sons. 
DKS","§p     (c) k     ʔ
     sh          kxh
(f) s         x     h
(v)
 m 
    (l)
     r","p  (c) k ʔ","sh kxh","(f) (v) s x h","m ",(l),r,"§/  /h  /ʔ /x  n/   
ǂ  ǂh  ǂʔ ǂx nǂ  
!  !h  !ʔ !x  n! 
ǁ  ǁh  ǁʔ ǁx nǁ  
",,,"§i      u
 e (ə) o
     a","i e","(ə) a","u o",," ã ũ",,"§ai ae ao au oe oa ui 
ã ãũ õã ũ","(C)V(C) ","hi-ris hi-fall mid-ris mid-fall lo-mid-lev lo-ris",,,,,,,"§1       4dmie 4dfie 4dcie 4mie 4fie 4cie
  2mf  5dmfc                    5mfc
  3mfc 6dmfc                   6mfc
c=common
","SOV AN GN DN NUM-N POSS-N",,,POST,
12,Dama,Damara,,Namibia,"105,000","Khoisan: Central: Nama",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
13,!Ora,Korana,,"S South Africa",extinct,"Khoisan: Central: Nama",,"Maingard, L. F. 1962. Korana Folktales. Johannesburg: Witwatersrand Univ. Press.","Beach, D. M. 1938. The Phonetics of the Hottentot Language. Cambridge: W. Heffer & Sons.",DKS,"§p   h  k kh  ʔ
 b       ɡ
    (tsʔ)  kxʔ
     s      x      h
 m 
     ɾ","p b  h  k kh ɡ ʔ","(tsʔ) kxʔ","s x h","m ",,ɾ,"§/  /h  /ʔ /x  n/   
ǂ  ǂh  ǂʔ ǂx nǂ  
!  !h  !ʔ !x  n! 
ǁ  ǁh  ǁʔ ǁx nǁ",,"j w","§i       u
 e (ə) o
     a","i e","(ə) a","u o",," I ã  õ",,"ai ei au oa ou oe ue","(C)V(C) ","hi-lev hi-ris mid-lev lo-mid-fall",,"s d p",,"m f c (common)",3,,"§1mf  4dmie 4dfie 4dcie 4mie 4fie 4cie
  2mf  5dmfc                    5mfc
  3mfc 6dmfc                    6mfc","SOV AN GN DN NUM-N POSS-N D-Num+A+N",,,POST,
14,Xiri,,,"South Africa",extinct,"Khoisan: Central: Nama",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
15,Hai.nǁum,,,Namibia,"16,000","Khoisan: Central: Hai.nǁum",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
16,Kwadi,,,"South Angola","15,000","Khoisan: Central: Kwadi",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
17,Gǁabake,,Kua,"EC Botswana","9,360","cKhoisan: Central: Tshu-Khwe: Northeast",,DKS,,"§CTIL 7, 404.
CBH","§p  t th tʔ tx    c ch cʔ cx k kh kʔ kj q ʔ 
 b  d dj           ɉ              ɡ ŋɡ
     ts tsh tsʔ tsx
    dz
    s                                x                h 
m n                ñ             ŋ","p b t th tʔ tx d dj  c ch cʔ cx ɉ k kh kʔ kj  ɡ ŋɡ q ʔ","ts tsh tsʔ tsx dz","s x h","m n ñ ŋ",,,"§/   ɡ/   n/   ɡ/n   /x   ɡ/x   /h   /ʔ   n/x
ǂ      ǂh
!   n!   !x   !h   !ʔ
ǁ      nǁ   n   ǁx   x   ǁh   ǁʔ   nǁx
[n/x is prenasalized]",,"j ʔj w","§i    u
 e    o
    a","i e",a,"u o",," ã ũ",,"§ai ae ao au oi oe oa ui ue ua 
ããũ õã ũ",,"hi-lev lo-lev hi-fall lo-ris",,,,,,,"§1     4dmfc 4mfc
2mf  5dmfc 5mfc
3mfc 6dmfc 6mfc",SOV,,,,
18,Gǁabake,,Tsua,"EC Botswana","9,360","Khoisan: Central: Tshu-Khwe: Northeast",,DKS,,"§CTIL 7, 404.
CBH","§p  t th tʔ tx    c cʔ cx     k kh kʔ kj q ʔ 
 b  d dj           ɉ              ɡ
     ts tsh tsʔ tsx
    dz
    s                                x                h 
m n                ñ              ŋ","p b t th tʔ tx d dj  c ch cʔ cx ɉ k kh kʔ kj  ɡ ŋɡ q ʔ","ts tsh tsʔ tsx dz","s x h","m n ñ ŋ",,,"§/   ɡ/   ɡ/n   q/   /x   ɡ/x   /h   /ʔ
ǂ   ǂx   ǂh
!   !x   !h   !ʔ
ǁ      nǁ   n   ǁx   x   ǁh   ǁʔ",,"j ʔj w","§i    u
 e    o
    a","i e",a,"u o",," ã ũ",,"§ai ae ao au oi oe oa ui ue ua 
ããũ õã ũ",,"hi-lev lo-lev hi-fall lo-ris",,,,,,,"§1     4dmfc 4mfc
2mf  5dmfc 5mfc
3mf  6dmfc 6mfc",SOV,,,,
19,Gǁabake,,Cua,"EC Botswana","9,360","Khoisan: Central: Tshu-Khwe: Northeast",,DKS,,"§CTIL 7, 404.
CBH","§    t           c ch cʔ cx     k kh kʔ 
 b  d                              ɡ
     ts tsʔ tsx
    s                                             h 
    z
m n nj                         ŋ
    r","b t d c ch cʔ cx k kh kʔ ɡ","ts tsʔ tsx","s z h","m n nj ŋ",,r,"§/   ɡ/    /x   /ʔ
ǁ    ǁx   ǁʔ",,j,"§i    u
 e    o
    a","i e",a,"u o",," ã ũ",,"§ai ao au oe ui 
õã ũ",,"hi-lev lo-lev hi-fall lo-ris",,,,,,,"§1     4dmfc 4mfc
2mf  5dmfc 5mfc
3mf  6dmfc 6mfc",SOV,,,,
20,Kwee,,,"South Africa",,"Khoisan: Central: Tshu-Khwe: Northeast",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
21,Ganade,,,"South Africa",,"Khoisan: Central: Tshu-Khwe: North-Central",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
22,Shua,,Cara,"NE Botswana","6,000","Khoisan: Central: Tshu-Khwe: North-Central",,DKS,,CBH,"§p t th tʔ tx     c ch cʔ cx k kh kʔ q ʔ 
 b d               ɉ             ɡ ŋɡ
    ts tsh tsʔ tsx 
    dz
    s                              x            h 
m n               ñ             ŋ

","p b t th tʔ tx d c ch cʔ cx ɉ k kh kʔ ɡ ŋɡ q ʔ","ts tsh tsʔ tsx dz","s x h","m n ñ ŋ",,,"§/   ɡ/   n/   ɡ/n   q/   /x   /h   /ʔ 
                                         ǂʔ
!                n               !h   
ǁ      nǁ   n   ǁx   ǁh   ǁʔ",,"j ʔj (w)","§i   u
 e   o
    a","i e",a,"u o",," ã ũ",,"§ai ae ao au oe oa ui ue ua 
ã ãũ õã ũ",,"hi-lev lo-lev hi-fall lo-ris",,,,,,,"§1 4dmfc 4mfc
2mf 5dmfc 5mfc
3mfn 6dmfc 6mfc",SOV,,,,
23,Shua,,/Xaise,"NE Botswana","6,000","Khoisan: Central: Tshu-Khwe: North-Central",,DKS,,CBH,"§p t th tʔ        c ch cʔ cx k kh kʔ ʔ 
 b d dj            ɉ ñɉ            ɡ ŋɡ
    ts tsh tsʔ tsx 
    dz
    s                              x         h 
m n               ñ             ŋ

","p b t th tʔ d c ch cʔ cx ɉ k kh kʔ ɡ ŋɡ ʔ","ts tsh tsʔ tsx dz","s x h","m n ñ ŋ",,,"§/   ɡ/   n/   ɡ/n   /x   /h   /ʔ
                               !h   !ʔ
ǁ      nǁ   n   ǁx   ǁh   ǁʔ",,"j ʔj","§i   u
 e   o
    a","i e",a,"u o",," ã ũ",,"§ai ae ao au oi oe oa ui ua 
ã ãũ õã ũ",,"hi-lev lo-lev hi-fall lo-ris",,,,,,,"§1     4dmfc 4mfc
2mf   5dmfc 5mfc
3mf   6dmfc 6mfc",SOV,,,,
24,Danisin,Danisi,,"NE Botswana",100,"Khoisan: Central: Tshu-Khwe: North-Central",,DKS,,CBH,"§p t th tʔ tx     c ch cʔ cx k kh q ʔ 
 b d dj  ndj                    ɡ ŋɡ
    ts tsh tsʔ tsx                kxʔ
    dz
    s                              x        h
                                   ɣ
m n               ñ             ŋ

","p b t th tʔ tx d dj  ndj  c ch cʔ cx k kh ɡ ŋɡ q ʔ","ts tsh tsʔ tsx dz kxʔ","s x ɣ h","m n ñ ŋ",,,"§/   ɡ/   n/    ɡ/n    q/    /x             /xʔ   /h   /ʔ   n/x
                          qǂ
!                               !x                        !ʔ
ǁ      nǁ   n   qǁ   ǁx   x   ǁxʔ   ǁh   ǁʔ   nǁx
[n/x = prenasalized]",,"j ʔj w","§i    u
 e    o
    a","i e",a,"u o",," ã ũ",,"§ai ae ao au oe oa ui ue ua 
ã ãũ õã ũ",,"hi-lev lo-lev hi-fall lo-ris",,,,,,,"§1     4dmfc 4mfc
2mf   5dmfc 5mfc
3mf   6dmfc 6mfc",SOV,,,,
25,Deti,,,"NE Botswana","6,000","Khoisan: Central: Tshu-Khwe: Central",,DKS,,CBH,"§p t th           c ch cʔ cx k kh kʔ ʔ 
 b d                              ɡ ŋɡ
    ts tsh tsʔ tsx 
    dz 
    s                                x        h
m n               ñ              ŋ","p b t th d c ch cʔ cx k kh kʔ ɡ ŋɡ ʔ","ts tsh tsʔ tsx dz","s x h","m n ñ ŋ",,,"§/ ɡ/ n/ ɡ/n /x /h   /ʔ 
ǁ  nǁ n ǁx ǁh   ǁʔ",,"j ʔj (w)","§i   u
 e   o
    a","i e",a,"u o",," ã ũ",,"§ai ae ao au oe oa ui ue ua 
ã ãũ õã ũ",,"hi-lev lo-lev hi-fall lo-ris",,,,,2,,"§1      4dmfc 4mfc
2mf   5dmfc 5mfc
3mf   6dmfc 6mfc
c=common",SOV,,,,
26,Kxoe,,,"NE Namibia","10,000","Khoisan: Central: Tshu-Khwe: Central",,"§Köhler, Oswin.  1981. ""Les langues khoisan,"" in Les langues dans le monde ancien et moderne, ed. by Jean Perrot, Paris, Éditions du Centre National de la Recherche Scientifique, 455-615.
DKS",,,"§p ph t th tʔ         k       q ʔ
 b      d               ɡ ŋɡ
         tsʔ tx  č čx  kx kxʔ
                           ǧ
                  ҫ                   h
 m     n       ñ      ŋ","p ph b t th tʔ d k ɡ ŋɡ q ʔ","tsʔ tx č čx ǧ kx kxʔ","ҫ h","m n ñ ŋ",,,"§/  /h  /x  ɡ/  ɡ/n  /xʔ  n/   /ʔ   q/
ǂ  ǂh  ǂx    n  ǂxʔ  nǂ  ǂʔ  qǂ
!  !h  !x    n  !xʔ  n!  !ʔ  q!
ǁ  ǁh  ǁx    n  ǁxʔ  nǁ  ǁʔ  qǁ",,,"§i    u
 e    o
 ɛ
    a","i e ɛ",a,"u o",," ã ũ",,"§ei eu ae ao oe oɛ oa ui ue uɛ ua 
ã ãũ õã ũ",(C)V(N),"hi hi-fall-mid hi-fall-lo mid-ris-hi1 mid-ris-hi2 lo-ris1 lo-ris2",,"s d p",,"m f n",,,"§1    4dmfc   4mfc
2mf  5dmfc  5mfc
3mfn 6dmfc 6mfc","SOV AN GN DN NUM-N POSS-N",,,POST,
27,Buka,Buga,"?dialect of Kxoe","NE Namibia",,"Khoisan: Central: Tshu-Khwe: Northwest",,DKS,,"§CBH 
WPF","§p        t th tʔ tx         k kh 
 b (mb) d (nd)            ɡ ŋɡ
           ts tsh tsʔ tsx      kxʔ
           dz
           s                   x      h 
 m      (n)            (ñ) ŋ","p b (mb) t th tʔ tx d (nd) k kh ɡ ŋɡ","ts tsh tsʔ tsx dz kxʔ","s x h","m (n) (ñ) ŋ",,,"§/  /h  /x  ɡ/  n/n  /xʔ  n/   /ʔ   q/
ǂ  ǂh  ǂx    nǂn  ǂxʔ  nǂ  ǂʔ  qǂ
!  !h  !x    n!n  !xʔ  n!  !ʔ  q!
ǁ  ǁh  ǁx    nǁn  ǁxʔ  nǁ  ǁʔ  qǁ 
n/n = voiced nasal",,"j w","§i   u
 e   o
 ɛ
    a","i e ɛ",a,"u o",," ã ũ",,"§ai ae ao au oe oɛ oa ui ue uɛ ua uo 
ã ãũ õã ũ",,"hi-lev hi-fall lo-ris lo-lev",,,,,,,"§1mf  4dmfc 4mfc
2mf   5dmfc 5mfc
3mf   6dmfc 6mfc",SOV,,,,
28,Handa,/Anda,,"NE Namibia",,"Khoisan: Central: Tshu-Khwe: Northwest",,DKS,,CBH,"§p (mph) t th tʔ tx           k kh
 b (mb)   d (nd)           ɡ ŋɡ
             ts tsh tsʔ tsx       kxʔ
             dz
             s                   x      h 
m         (n)            (ñ) ŋ","p (mph) b (mb) t th tʔ tx d (nd) k kh ɡ ŋɡ","ts tsh tsʔ tsx dz kxʔ","s x h","m (n) (ñ) ŋ",,,"§/   ɡ/  n /   n/n   q/   /x   /xʔ   /h   /ʔ
!      n!   n!n   q!   !x   !xʔ   !h   !ʔ
ǁ     nǁ   nǁn   qǁ   ǁx   ǁxʔ   ǁh   ǁʔ
ǂ      nǂ   nǂn   qǂ   ǂx   ǂxʔ   ǂh   ǂʔ",,"j w","§i    u
 e    o
 ɛ
    a","i e ɛ",a,"u o",," ã ũ",,"§ai ae ao au ɛu oe oɛ oa ui ue uɛ 
ã ãũ õã ũ ũã",,"hi-lev hi-fall lo-ris lo-lev",,,,,,,"§1      4dmfc 4mfc
2mf   5dmfc 5mfc
3mf   6dmfc 6mfc
c=common",SOV,,,,
29,Xû,Kxoe,ǁAni,Angola,,"Khoisan: Central: Tshu-Khwe: Northwest",,DKS,,"§Vossen, Rainer.  1986.  ""Zur Phonologie der ǁAni-Sprache,"" in Contemporary Studies on Khoisan 2, ed. by Rainer Vossen and Klaus Keuthmann, Hamburg, Helmut Buske, 321-45.
CBH","§p  h ʔ x    k kh q ʔ
 b  x              ɡ
    ts tsh tsʔ tsx kxʔ
    dz dzx
    s               x        h
                     ɣ
m n               ŋ","p b  h ʔ x  dx k kh ɡ q ʔ","ts tsh tsʔ tsx dz dzx kxʔ","s x ɣ h","m n ŋ",,,"§/   ɡ/   n/   ɡ/n   q/   /x     /xʔ   /h   /ʔ   n/x   
!      n!   n   q!    !x   !xʔ   !h   !ʔ   n!x    
ǁ      nǁ   n   qǁ   ǁx   x    ǁxʔ   ǁh   ǁʔ   nǁx   
ǂ     nǂ   n   qǂ   ǂx   ǂxʔ  ǂh   ǂʔ   nǂx",,"j w","§i    u
 e    o
    a","i e",a,"u o",," ã ũ",,"§ae ai ao au oa oe oɛ ua ue uɛ 
ã ãũ õã ũã ũ",,"hi-lev hi-fall lo-ris lo-lev",,,,,2,,"§1    4dmfc 4mfc
2mf 5dmfc 5mfc
3mf 6dmfc 6mfc","SOV POSS-N",,,,
30,Gǁana,ǁAna,,"W Botswana","2,000","Khoisan: Central: Tshu-Khwe: Northwest","Tanaka, Jiro. 1978. A San Vocabulary of the Central Kalahari. Tokyo: Institute for the Study of Languages and Cultures of Asia and Africa.",DKS,,,"§p  t th tʔ        k kh kʔ q ʔ
 b  d              ɡ
     ts tsh tsx tsʔ kx kxʔ 
     dz
     s               x            h 
 m n","p b t th tʔ d k kh kʔ ɡ q ʔ","ts tsh tsx tsʔ dz kx kxʔ","s x h","m n",,,"§/   ɡ/   n/   ɡ/n   q/   /x   /xʔ   /h   /ʔ   
ǂ      nǂ   n   qǂ   ǂx   ǂxʔ   ǂh   ǂʔ
!      n!   n   q!   !x   !xʔ   !h   !ʔ
ǁ      nǁ   n   qǁ   ǁx   ǁxʔ   ǁh   ǁʔ",,"j w","§i    u
 e    o
    a","i e",a,"u o",,"ã ũ","aɑ oɑ","§ai ae ao au oe ui ue ua 
ã ãũ õã ũ 
aiɑ oaɑ aɑo oɑi oɑa   
[oaɑ=pharyngealized; oɑa=partially pharyngealized]",,"hi-lev lo-lev hi-fall lo-ris",,"s p",,"m f",2,,"§1   4dmfc   4mfc
2mf 5dmfc   5mfc
3mf  6dmfc  6mfc
c=common","SOV AN",,,POST,
31,Gǁana,ǂHaba,,"W Botswana",,"Khoisan: Central: Tshu-Khwe: Northwest","Tanaka, Jiro. 1978. A San Vocabulary of the Central Kalahari. Tokyo: Institute for the Study of Languages and Cultures of Asia and Africa.",DKS,,,"§p  t th tx           k kh kʔ q ʔ
 b  d                  ɡ ŋɡ
     ts tsh tsx tsʔ       kxʔ 
     dz
     s                   x            h 
 m n               ñ  ŋ","p b t th tx d k kh kʔ ɡ ŋɡ q ʔ","ts tsh tsx tsʔ dz kxʔ","s x h","m n ñ ŋ",,,"§/   ɡ/   n/   ɡ/n   /x   /xʔ   /h   /ʔ   
ǂ      nǂ   n   ǂx   ǂxʔ   ǂh   ǂʔ
!      n!   n   !x   !xʔ   !h   !ʔ
ǁ      nǁ   n   ǁx   ǁxʔ   ǁh   ǁʔ",,"j w","§i    u
 e    o
 ɛ
    a","i e ɛ",a,"u o",," ã ũ","§iɑ aɑ uɑ oɑ 
ãɑ ũɑ","§ai ae ao au oe oɛ oa ui ue ua 
ã ãũ õã ũ 
aiɑ aeɑ auɑ oaɑ uiɑ ueɑ
 ãɑ ũɑ",,"hi-lev lo-lev hi-fall lo-ris",,"s p",,"m f",2,,"§1   4dmfc   4mfc
2mf 5dmfc   5mfc
3mf  6dmfc  6mfc
c=common","SOV AN",,,POST,
